Date,Day,Time,Event Type,Title,Description,Price,QR Code URL
2026-05-10,Sunday,12:00 PM,Dining,Mother's Day Lunch,Treat Mum to a special three-course meal with complimentary bubbles on arrival.,$45 per person,https://www.coasters.co.nz/bookings
2026-05-14,Thursday,7:00 PM,Raffle,Monster Meat Raffle,Join us for our weekly meat raffle! 15 prizes up for grabs including meat packs and vouchers.,Free Entry,
